id	name
73445	Fouilloy
73448	Heilly
73452	Lamotte-Warfusée
73459	Villers-Bretonneux
73465	Domart-en-Ponthieu
73473	Naours
73479	Vauchelles-lès-Domart
73483	Beauval
73486	Doullens
73487	Gézaincourt
73502	Hornoy-le-Bourg
73511	Airaines
73515	Bovelles
73538	Ailly-sur-Somme
73545	Condé-Folie
73548	Flixecourt
73550	Hangest-sur-Somme
73551	L'Étoile
73552	La Chaussée-Tirancourt
73554	Picquigny
73556	Vignacourt
73563	Caulières
73564	Courcelles-sous-Moyencourt
73580	Morvillers-Saint-Saturnin
73583	Poix-de-Picardie
73594	Flesselles
73595	Fréchencourt
73602	Querrieu
73607	Talmas
73610	Villers-Bocage
73611	Ailly-sur-Noye
73613	Chaussoy-Epagny
73622	Jumel
73630	Sauvillers-Mongival
73660	Montdidier
73667	Arvillers
73678	Hangest-en-Santerre
73682	Le Quesnel
73684	Moreuil
73685	Morisel
73690	Bayonvillers
73706	Rosières-en-Santerre
73738	Roye
73743	Albert
73744	Auchonvillers
73745	Authuille
73746	Aveluy
73749	Beaumont-Hamel
73750	Bécordel-Bécourt
73753	Contalmaison
73754	Courcelette
73756	Fricourt
73757	Grandcourt
73760	Mametz
73761	Méaulte
73764	Miraumont
73765	Ovillers-la-Boisselle
73766	Pozières
73768	Thiepval
73769	Bray-sur-Somme
73770	Cappy
73774	Éclusier-Vaux
73778	La Neuville-lès-Bray
73779	Méricourt-l'Abbé
73784	Sailly-le-Sec
73785	Suzanne
73789	Assevillers
73792	Chaulnes
73804	Omiécourt
73810	Carnoy
73812	Curlu
73815	Flers
73818	Guillemont
73821	Lesbœufs
73822	Longueval
73823	Maricourt
73826	Montauban-de-Picardie
73827	Rancourt
73837	Ham
73861	Nesle
73867	Saint-Christ-Briost
73883	Feuillères
73888	Péronne
73889	Villers-Carbonnel
73911	Vraignes-en-Vermandois
